index,original_path,saved_path,width,height,filename
0,ui-vision/images/layout_grounding/d26a3dd405c3f58f55c173e8d08446c7.png,bg_000_d26a3dd405c3f58f55c173e8d08446c7.png,3360,1924,d26a3dd405c3f58f55c173e8d08446c7.png
1,ui-vision/images/layout_grounding/efcfde18fa3ad60fe12974d32373346d.png,bg_001_efcfde18fa3ad60fe12974d32373346d.png,3360,1924,efcfde18fa3ad60fe12974d32373346d.png
2,ui-vision/images/element_grounding/a7ec5981d2c50d80492de0e2b1f6f234.png,bg_002_a7ec5981d2c50d80492de0e2b1f6f234.png,3360,1924,a7ec5981d2c50d80492de0e2b1f6f234.png
3,ui-vision/images/element_grounding/6703d485a5b79e12d3b632665ddbc329.png,bg_003_6703d485a5b79e12d3b632665ddbc329.png,3360,1924,6703d485a5b79e12d3b632665ddbc329.png
4,ui-vision/images/element_grounding/e13d1953c49502f826c98443b8803fb6.png,bg_004_e13d1953c49502f826c98443b8803fb6.png,3360,1924,e13d1953c49502f826c98443b8803fb6.png
5,ui-vision/images/element_grounding/4a3557a0d4635312db1bf1e6dfcbfc5b.png,bg_005_4a3557a0d4635312db1bf1e6dfcbfc5b.png,3360,1924,4a3557a0d4635312db1bf1e6dfcbfc5b.png
6,ui-vision/images/element_grounding/5daddf52f3920a123fc395d4244e765b.png,bg_006_5daddf52f3920a123fc395d4244e765b.png,3360,1924,5daddf52f3920a123fc395d4244e765b.png
7,ui-vision/images/layout_grounding/d9cbfcb512864a7d91a4b57d554d468a.png,bg_007_d9cbfcb512864a7d91a4b57d554d468a.png,3358,1924,d9cbfcb512864a7d91a4b57d554d468a.png
8,ui-vision/images/element_grounding/602379c7b9a4187b0b8235b6a460ae59.png,bg_008_602379c7b9a4187b0b8235b6a460ae59.png,3358,1924,602379c7b9a4187b0b8235b6a460ae59.png
9,ui-vision/images/element_grounding/47af7d6a548d6edad5962b8a1a1c1c0e.png,bg_009_47af7d6a548d6edad5962b8a1a1c1c0e.png,3358,1924,47af7d6a548d6edad5962b8a1a1c1c0e.png
